,CumBOE,CumGas,CumOil,DrillType,Field,First6BOE,FirstProdDate,GrossPerforatedInterval,HorizontalLength,LowerPerforation,OperatorAlias,Range,TargetFormation,TotalDepth,Township,TreatmentJobCount,UpperPerforation,VerticalDepth,WellName,WellNumber,gel,sandmass,slick,xlinkgel
5123407270000,119203.0,569493.0,24287.0,H,WATTENBERG,39605.0,2016-01-01,,3852.63,,PDC ENERGY,65W,CODELL,11706.0,04N,1.0,,7194.0,PESCHEL,20I-402,0.0,2702799.0377597613,1.0,0.0
5123407280000,176868.0,824394.0,39469.0,H,WATTENBERG,71246.0,2016-01-01,,3786.8,,PDC ENERGY,65W,NIOBRARA,11488.0,04N,1.0,,6986.0,PESCHEL,20H-232,0.0,3762730.1007099585,1.0,1.0
5123407290000,193764.0,870040.0,48757.0,H,WATTENBERG,77619.0,2016-01-01,,3818.63,,PDC ENERGY,65W,NIOBRARA,11601.0,04N,1.0,,7058.0,PESCHEL,20I-312,0.0,3461681.6354239816,1.0,1.0
5123407300000,164859.0,758963.0,38365.0,H,WATTENBERG,67293.0,2016-01-01,,3788.74,,PDC ENERGY,65W,NIOBRARA,11581.0,04N,1.0,,7058.0,PESCHEL,20H-332,0.0,3807404.730750959,1.0,1.0
5123407320000,306223.0,804960.0,172063.0,H,WILDCAT,132686.0,2016-07-01,8912.0,10215.33,16243.0,NOBLE ENERGY,65W,NIOBRARA,16439.0,03N,1.0,7331.0,6986.0,MOSER,H34-778,0.0,13372134.016316902,1.0,0.0
5123407340000,185839.0,713912.0,66853.0,H,WATTENBERG,84744.0,2016-07-01,4254.0,4782.37,11578.0,NOBLE ENERGY,65W,NIOBRARA,11773.0,03N,2.0,7324.0,7003.0,MOSER STATE,H22-785,0.0,6697246.670524798,1.0,0.0
5123407360000,89153.0,195019.0,56650.0,H,WATTENBERG,66101.0,2017-07-01,9586.0,9965.79,17240.0,EXTRACTION O&G,65W,NIOBRARA,17310.0,07N,1.0,7654.0,7197.0,BURROUGHS SOUTH,12,0.0,28389686.209277116,1.0,1.0
5123407370000,75522.0,126042.0,54514.0,H,WATTENBERG,54330.0,2017-07-01,9545.0,9970.0,17309.0,EXTRACTION O&G,65W,CODELL,17375.0,07N,2.0,7764.0,7368.0,BURROUGHS SOUTH,10,0.0,8230650.945871813,1.0,1.0
5123407390000,52968.0,86787.0,38503.0,H,WATTENBERG,36577.0,2017-07-01,9446.0,9968.8,17212.0,EXTRACTION O&G,65W,CODELL,17370.0,07N,2.0,7766.0,7283.0,BURROUGHS SOUTH,13,0.0,15742586.690251699,1.0,1.0
5123407400000,72801.0,141327.0,49247.0,H,WATTENBERG,55253.0,2017-07-01,,9966.71,,EXTRACTION O&G,65W,NIOBRARA,17046.0,07N,1.0,,6974.0,BURROUGHS SOUTH,11,0.0,26868106.311810847,1.0,1.0
5123407450000,42051.0,108090.0,24036.0,H,WATTENBERG,25481.0,2016-05-01,5783.0,5383.58,13224.0,ANADARKO,65W,NIOBRARA,13286.0,01N,1.0,7441.0,7181.0,GOODIN,15N-B6HZ,0.0,700818.2405121179,1.0,0.0
5123407460000,92416.0,248725.0,50962.0,H,WATTENBERG,48770.0,2016-05-01,5539.0,5396.87,13258.0,ANADARKO,65W,NIOBRARA,13320.0,01N,1.0,7719.0,7244.0,GOODIN,15N-A6HZ,0.0,1394798.314098724,1.0,0.0
5123407470000,75169.0,214014.0,39500.0,H,WATTENBERG,39499.0,2016-05-01,5614.0,5386.96,13346.0,ANADARKO,65W,NIOBRARA,13408.0,01N,1.0,7732.0,7188.0,GOODIN,37N-B6HZ,0.0,1523757.1700900733,1.0,0.0
5123407480000,103900.0,297387.0,54335.0,H,WATTENBERG,52051.0,2016-05-01,5726.0,5488.14,13367.0,ANADARKO,65W,NIOBRARA,13429.0,01N,1.0,7641.0,7148.0,GOODIN,38N-A6HZ,0.0,1644991.4267409837,1.0,0.0
5123407490000,120806.0,389849.0,55831.0,H,WATTENBERG,57265.0,2016-05-01,5527.0,5413.77,13267.0,ANADARKO,65W,NIOBRARA,13329.0,01N,1.0,7740.0,7162.0,GOODIN,36N-B6HZ,0.0,5009745.847368825,1.0,0.0
5123407540000,378585.0,1375793.0,149286.0,H,WATTENBERG,173030.0,2016-06-01,8483.0,9407.12,15730.0,NOBLE ENERGY,65W,NIOBRARA,15900.0,03N,2.0,7247.0,6985.0,MOSER,H22-715,0.0,9206885.168954702,1.0,1.0
5123407550000,249639.0,686712.0,135187.0,H,WATTENBERG,111340.0,2016-05-01,8884.0,9667.37,16307.0,NOBLE ENERGY,65W,NIOBRARA,16342.0,03N,1.0,7423.0,6939.0,MOSER,H34-717,0.0,10139932.470632337,1.0,1.0
5123407560000,253966.0,1013045.0,85125.0,H,WATTENBERG,105257.0,2016-05-01,7392.0,8554.93,15008.0,NOBLE ENERGY,65W,CODELL-FORT HAYS,15043.0,03N,3.0,7616.0,7095.0,MOSER,H22-725,0.0,6158680.355920723,1.0,1.0
